name,nation,details,alias,def_country,activeplatforms
FC SION,false,"{""teamAbbr""=>""SIO"", ""teamCity""=>""Sion"", ""teamName""=>""FC Sion"", ""teamFounded""=>""1909"", ""teamStadium""=>""Tourbillon"", ""teamCapacity""=>19600, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=752""}","FC SION, SION",SWITZERLAND,true,"[""PES21"",""FIFA23""]"
DERBY COUNTY,false,"{""teamAbbr""=>""DER"", ""teamCity""=>""Derby"", ""teamName""=>""Derby County"", ""teamFounded""=>""1884"", ""teamStadium""=>""Pride Park"", ""teamCapacity""=>33597, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=29""}","DERBY WB, DERBY COUNTY",ENGLAND,true,"[""PES21"",""FIFA23""]"
SHEFFIELD WEDNESDAY,false,"{""teamAbbr""=>""WED"", ""teamCity""=>""Sheffield"", ""teamName""=>""Sheffield Wednesday"", ""teamFounded""=>""1867"", ""teamStadium""=>""Hillsborough"", ""teamCapacity""=>39814, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=71""}","SHEFFIELD WEDNESDAY, SHEFFIELD BW",ENGLAND,true,"[""PES21"",""FIFA23""]"
FC LUZERN,false,"{""teamAbbr""=>""FCL"", ""teamCity""=>""Lucerne"", ""teamName""=>""FC Luzern"", ""teamFounded""=>""1901"", ""teamStadium""=>""Swisspoarena"", ""teamCapacity""=>17000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=751""}","FC LUZERN, LUZERN",SWITZERLAND,true,"[""PES21"",""FIFA23""]"
AC PERUGIA,false,"{""teamAbbr""=>""PER"", ""teamCity""=>""Perugia"", ""teamName""=>""AC Perugia"", ""teamFounded""=>""1905"", ""teamStadium""=>""Renato Curi"", ""teamCapacity""=>28000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=119""}","AC PERUGIA, PERUGIA, PERUGIA BR",ITALY,true,"[""PES21"",""FIFA23""]"
HJK HELSINKI,false,"{""teamAbbr""=>""HJK"", ""teamCity""=>""Helsinki"", ""teamName""=>""HJK Helsinki"", ""teamFounded""=>""1907"", ""teamStadium""=>""Finnair Stadium"", ""teamCapacity""=>10770, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=545""}",HJK HELSINKI,FINLAND,true,"[""FIFA23""]"
BOTAFOGO SP,false,"{""teamAbbr""=>""BSP"", ""teamCity""=>""Ribeirão Preto"", ""teamName""=>""Botafogo SP"", ""teamFounded""=>""1918"", ""teamStadium""=>""Santa Cruz"", ""teamCapacity""=>50000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2802""}",BOTAFOGO SP,BRAZIL,true,"[""PES21""]"
ROYAL ANTWERP,false,"{""teamAbbr""=>""ROY"", ""teamCity""=>""Antwerp"", ""teamName""=>""Royal Antwerp"", ""teamFounded""=>""1880"", ""teamStadium""=>""Bosuilstadion"", ""teamCapacity""=>16649, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1560""}","ROYAL ANTWERP, ANTWERP",BELGIUM,true,"[""PES21"",""FIFA23""]"
VÉLEZ SARSFIELD,false,"{""teamAbbr""=>""VÉL"", ""teamCity""=>""Buenos Aires"", ""teamName""=>""Vélez Sársfield"", ""teamFounded""=>""1910"", ""teamStadium""=>""José Amalfitani"", ""teamCapacity""=>49540, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=285""}",VÉLEZ SARSFIELD,ARGENTINA,true,"[""PES21"",""FIFA23""]"
ROYAL EXCEL MOUSCRON,false,"{""teamAbbr""=>""REM"", ""teamCity""=>""Mouscron"", ""teamName""=>""Royal Excel Mouscron"", ""teamFounded""=>""1964"", ""teamStadium""=>""Stade Le Canonnier"", ""teamCapacity""=>11300, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=592""}","ROYAL EXCEL MOUSCRON, MOUSCRON",BELGIUM,true,"[""PES21""]"
OH LEUVEN,false,"{""teamAbbr""=>""OHL"", ""teamCity""=>""Leuven"", ""teamName""=>""OH Leuven"", ""teamFounded""=>""1957"", ""teamStadium""=>""Den Dreef"", ""teamCapacity""=>9319, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1701""}","OH LEUVEN, LEUVEN",BELGIUM,true,"[""PES21"",""FIFA23""]"
SPORTING CHARLEROI,false,"{""teamAbbr""=>""CHA"", ""teamCity""=>""Charleroi"", ""teamName""=>""Sporting Charleroi"", ""teamFounded""=>""1904"", ""teamStadium""=>""Stade du Pays de Charleroi"", ""teamCapacity""=>15000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=588""}","SPORTING CHARLEROI, CHARLEROI",BELGIUM,true,"[""PES21"",""FIFA23""]"
SINT-TRUIDENSE VV,false,"{""teamAbbr""=>""STV"", ""teamCity""=>""Sint-Truiden"", ""teamName""=>""Sint-Truidense VV"", ""teamFounded""=>""1924"", ""teamStadium""=>""Stayen"", ""teamCapacity""=>14600, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=594""}",SINT-TRUIDENSE VV,BELGIUM,true,"[""PES21"",""FIFA23""]"
AL ETTIFAQ,false,"{""teamAbbr""=>""ETT"", ""teamCity""=>""Dammam"", ""teamName""=>""Al Ettifaq"", ""teamFounded""=>""1944"", ""teamStadium""=>""Prince Mohamed bin Fahd"", ""teamCapacity""=>35000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=666""}",AL ETTIFAQ,SAUDI ARABIA,true,"[""FIFA23""]"
BG PATHUM UNITED,false,"{""teamAbbr""=>""BGP"", ""teamCity""=>""Pathum Thani"", ""teamName""=>""BG Pathum United"", ""teamFounded""=>""2006"", ""teamStadium""=>""Leo Stadium"", ""teamCapacity""=>6500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2137""}",BG PATHUM UNITED,THAILAND,true,"[""PES21""]"
RAYONG FC,false,"{""teamAbbr""=>""RAY"", ""teamCity""=>""Rayong Province"", ""teamName""=>""PTT Rayong"", ""teamFounded""=>""1998"", ""teamStadium""=>""PTT Stadium"", ""teamCapacity""=>17000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2933""}",RAYONG FC,THAILAND,true,"[""PES21""]"
SUPHANBURI FC,false,"{""teamAbbr""=>""SUP"", ""teamCity""=>""Suphanburi"", ""teamName""=>""Suphanburi FC"", ""teamFounded""=>""1998"", ""teamStadium""=>""Suphanburi Municipality Stadium"", ""teamCapacity""=>18000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2630""}",SUPHANBURI,THAILAND,true,"[""PES21""]"
PORT,false,"{""teamAbbr""=>""PFC"", ""teamCity""=>""Bangkok"", ""teamName""=>""Port FC"", ""teamFounded""=>""1967"", ""teamStadium""=>""PAT Stadium"", ""teamCapacity""=>12308, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2934""}",PORT,THAILAND,true,"[""PES21""]"
SAMUT PRAKAN CITY,false,"{""teamAbbr""=>""SPC"", ""teamCity""=>""Samut Prakan"", ""teamName""=>""Samut Prakan City"", ""teamFounded""=>""2019"", ""teamStadium""=>""Samut Prakarn SAT Stadium"", ""teamCapacity""=>5100, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=5291""}",SAMUT PRAKAN CITY,THAILAND,true,"[""PES21""]"
CHONBURI,false,"{""teamAbbr""=>""CHO"", ""teamCity""=>""Chonburi"", ""teamName""=>""Chonburi"", ""teamFounded""=>""2002"", ""teamStadium""=>""Chonburi Stadium"", ""teamCapacity""=>8500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1576""}",CHONBURI,THAILAND,true,"[""PES21""]"
PRACHUAP FC,false,"{""teamAbbr""=>""PFC"", ""teamCity""=>""Prachuap Khiri Khan"", ""teamName""=>""Prachuap FC"", ""teamFounded""=>""2009"", ""teamStadium""=>""Sam Ao Stadium"", ""teamCapacity""=>7000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=4282""}","PRACHUAP FC, PT PRACHUAP",THAILAND,true,"[""PES21""]"
SCG MUANGTHONG UNITED,false,"{""teamAbbr""=>""MUA"", ""teamCity""=>""Muang Thong Thani"", ""teamName""=>""Muangthong United"", ""teamFounded""=>""1989"", ""teamStadium""=>""SCG Stadium"", ""teamCapacity""=>15000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1574""}",SCG MUANGTHONG UNITED,THAILAND,true,"[""PES21""]"
TRUE BANGKOK UNITED,false,"{""teamAbbr""=>""BKU"", ""teamCity""=>""Bangkok"", ""teamName""=>""Bangkok United"", ""teamFounded""=>""1988"", ""teamStadium""=>""Thai-Japanese Stadium"", ""teamCapacity""=>10000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2467""}",TRUE BANGKOK UNITED,THAILAND,true,"[""PES21""]"
AUDAX ITALIANO,false,"{""teamAbbr""=>""AUD"", ""teamCity""=>""Santiago"", ""teamName""=>""Audax Italiano"", ""teamFounded""=>""1910"", ""teamStadium""=>""Municipal de La Florida"", ""teamCapacity""=>12000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=969""}",AUDAX ITALIANO,CHILE,true,"[""PES21""]"
UNIVERSIDAD DE CHILE,false,"{""teamAbbr""=>""UCH"", ""teamCity""=>""Santiago"", ""teamName""=>""Universidad de Chile"", ""teamFounded""=>""1927"", ""teamStadium""=>""Nacional de Chile"", ""teamCapacity""=>48665, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=364""}",UNIVERSIDAD DE CHILE,CHILE,true,"[""PES21""]"
CD COBRESAL,false,"{""teamAbbr""=>""COB"", ""teamCity""=>""El Salvador"", ""teamName""=>""CD Cobresal"", ""teamFounded""=>""1979"", ""teamStadium""=>""El Cobre"", ""teamCapacity""=>20752, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=979""}","CD COBRESAL, COBRESAL",CHILE,true,"[""PES21""]"
DEPORTIVO ÑUBLENSE,false,"{""teamAbbr""=>""ÑUB"", ""teamCity""=>""Chillán"", ""teamName""=>""Deportivo Ñublense"", ""teamFounded""=>""1916"", ""teamStadium""=>""Nelson Oyarzún Arenas"", ""teamCapacity""=>12000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1089""}",DEPORTIVO ÑUBLENSE,CHILE,true,"[""PES21""]"
CEREZO OSAKA,false,"{""teamAbbr""=>""CER"", ""teamCity""=>""Osaka"", ""teamName""=>""Cerezo Osaka"", ""teamFounded""=>""1993"", ""teamStadium""=>""Nagai Stadium"", ""teamCapacity""=>50000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=554""}",CEREZO OSAKA,JAPAN,true,"[""PES21""]"
UNIÓN LA CALERA,false,"{""teamAbbr""=>""ULC"", ""teamCity""=>""La Calera"", ""teamName""=>""Unión La Calera"", ""teamFounded""=>""1954"", ""teamStadium""=>""Nicolás Chahuán"", ""teamCapacity""=>9200, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1759""}",UNIÓN LA CALERA,CHILE,true,"[""PES21"",""FIFA23""]"
CSA,false,"{""teamAbbr""=>""CSA"", ""teamCity""=>""Maceió"", ""teamName""=>""CS Alagoano"", ""teamFounded""=>""1913"", ""teamStadium""=>""Estádio Rei Pelé"", ""teamCapacity""=>19105, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2814""}",CSA,BRAZIL,true,"[""PES21""]"
FC VOLUNTARI,false,"{""teamAbbr""=>""FCV"", ""teamCity""=>""Voluntari"", ""teamName""=>""FC Voluntari"", ""teamFounded""=>""2010"", ""teamStadium""=>""Stadionul Anghel Iordănescu"", ""teamCapacity""=>4600, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=3633""}",FC VOLUNTARI,ROMANIA,true,"[""FIFA23""]"
UTA ARAD,false,"{""teamAbbr""=>""UTA"", ""teamCity""=>""Arad"", ""teamName""=>""UTA Arad"", ""teamFounded""=>""1945"", ""teamStadium""=>""Francisc von Neuman"", ""teamCapacity""=>12500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=831""}",UTA ARAD,ROMANIA,true,"[""FIFA23""]"
NÁUTICO,false,"{""teamAbbr""=>""NÁU"", ""teamCity""=>""Recife"", ""teamName""=>""Náutico"", ""teamFounded""=>""1901"", ""teamStadium""=>""Estádio Eládio de Barros Carvalho"", ""teamCapacity""=>19800, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=922""}",NÁUTICO,BRAZIL,true,"[""PES21""]"
SAMPAIO CORRÊA,false,"{""teamAbbr""=>""SCO"", ""teamCity""=>""São Luís"", ""teamName""=>""Sampaio Corrêa"", ""teamFounded""=>""1923"", ""teamStadium""=>""Arena Castelão"", ""teamCapacity""=>67000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2395""}",SAMPAIO CORRÊA,BRAZIL,true,"[""PES21""]"
BOTAFOGO,false,"{""teamAbbr""=>""BOT"", ""teamCity""=>""Rio de Janeiro"", ""teamName""=>""Botafogo FR"", ""teamFounded""=>""1904"", ""teamStadium""=>""Estádio Nilton Santos"", ""teamCapacity""=>46931, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=288""}",BOTAFOGO,BRAZIL,true,"[""PES21""]"
PONTE PRETA,false,"{""teamAbbr""=>""PP"", ""teamCity""=>""Campinas"", ""teamName""=>""Ponte Preta"", ""teamFounded""=>""1900"", ""teamStadium""=>""Moisés Lucarelli"", ""teamCapacity""=>20970, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=303""}",PONTE PRETA,BRAZIL,true,"[""PES21""]"
CD EVERTON,false,"{""teamAbbr""=>""EVT"", ""teamCity""=>""Viña del Mar"", ""teamName""=>""CD Everton"", ""teamFounded""=>""1909"", ""teamStadium""=>""Sausalito"", ""teamCapacity""=>22000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=974""}",CD EVERTON,CHILE,true,"[""PES21"",""FIFA23""]"
UNIÓN ESPAÑOLA,false,"{""teamAbbr""=>""ESP"", ""teamCity""=>""Santiago"", ""teamName""=>""Unión Española"", ""teamFounded""=>""1897"", ""teamStadium""=>""Estadio Santa Laura Universidad SEK"", ""teamCapacity""=>22000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=978""}",UNIÓN ESPAÑOLA,CHILE,true,"[""PES21"",""FIFA23""]"
FC ARGES PITESTI,false,"{""teamAbbr""=>""FCA"", ""teamCity""=>""Pitești"", ""teamName""=>""FC Argeș Pitesti"", ""teamFounded""=>""2010"", ""teamStadium""=>""Nicolae Dobrin"", ""teamCapacity""=>16500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=3188""}",FC ARGES PITESTI,ROMANIA,true,"[""FIFA23""]"
VILA NOVA,false,"{""teamAbbr""=>""VN"", ""teamCity""=>""Goiás"", ""teamName""=>""Vila Nova"", ""teamFounded""=>""1943"", ""teamStadium""=>""Serra Dourada"", ""teamCapacity""=>50049, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1457""}",VILA NOVA,BRAZIL,true,"[""PES21""]"
TORONTO FC,false,"{""teamAbbr""=>""TOR"", ""teamCity""=>""Toronto"", ""teamName""=>""Toronto FC"", ""teamFounded""=>""2006"", ""teamStadium""=>""BMO Field"", ""teamCapacity""=>29966, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=758""}",TORONTO FC,CANADA,true,"[""FIFA23""]"
ATLANTA UNITED,false,"{""teamAbbr""=>""ATL"", ""teamCity""=>""Atlanta"", ""teamName""=>""Atlanta United"", ""teamFounded""=>""2014"", ""teamStadium""=>""Mercedes-Benz Stadium"", ""teamCapacity""=>71000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=3910""}",ATLANTA UNITED,USA,true,"[""FIFA23""]"
DEPORTES MELIPILLA,false,"{""teamAbbr""=>""DEP"", ""teamCity""=>""Melipilla"", ""teamName""=>""Deportes Melipilla"", ""teamFounded""=>""1992"", ""teamStadium""=>""Roberto Bravo Santibáñez"", ""teamCapacity""=>6500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1092""}",DEPORTES MELIPILLA,CHILE,true,"[""PES21""]"
O'HIGGINS FC,false,"{""teamAbbr""=>""OHF"", ""teamCity""=>""Rancagua"", ""teamName""=>""O'Higgins FC"", ""teamFounded""=>""1955"", ""teamStadium""=>""El Teniente"", ""teamCapacity""=>18000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=967""}",O'HIGGINS FC,CHILE,true,"[""PES21""]"
CURICÓ UNIDO,false,"{""teamAbbr""=>""CUR"", ""teamCity""=>""Curicó"", ""teamName""=>""Curicó Unido"", ""teamFounded""=>""1973"", ""teamStadium""=>""La Granja"", ""teamCapacity""=>7000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1428""}",CURICÓ UNIDO,CHILE,true,"[""PES21""]"
CD PALESTINO,false,"{""teamAbbr""=>""PAL"", ""teamCity""=>""Santiago"", ""teamName""=>""CD Palestino"", ""teamFounded""=>""1920"", ""teamStadium""=>""Municipal de la Cisterna"", ""teamCapacity""=>12000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=976""}",CD PALESTINO,CHILE,true,"[""PES21""]"
DAMAC FC,false,"{""teamAbbr""=>""DAM"", ""teamCity""=>""Khamis Mushait"", ""teamName""=>""Damac FC"", ""teamFounded""=>""1972"", ""teamStadium""=>""Prince Sultan bin Abdul Aziz Stadium"", ""teamCapacity""=>20000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=5361""}",DAMAC FC,SAUDI ARABIA,true,"[""FIFA23""]"
AL WEHDA,false,"{""teamAbbr""=>""WEH"", ""teamCity""=>""Mecca"", ""teamName""=>""Al Wehda"", ""teamFounded""=>""1945"", ""teamStadium""=>""King Abdul Aziz"", ""teamCapacity""=>38000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1472""}",AL WEHDA,SAUDI ARABIA,true,"[""FIFA23""]"
MACARTHUR FC,false,"{""teamAbbr""=>""MFC"", ""teamCity""=>""Sydney"", ""teamName""=>""Macarthur FC"", ""teamFounded""=>""2017"", ""teamStadium""=>""Campbelltown Stadium"", ""teamCapacity""=>20000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=5432""}",MACARTHUR FC,AUSTRALIA,true,"[""FIFA23""]"
CA ALDOSIVI,false,"{""teamAbbr""=>""CAA"", ""teamCity""=>""Mar del Plata"", ""teamName""=>""CA Aldosivi"", ""teamFounded""=>""1913"", ""teamStadium""=>""José María Minella"", ""teamCapacity""=>35354, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1742""}",ALDOSIVI,ARGENTINA,true,"[""PES21"",""FIFA23""]"
OITA TRINITA,false,"{""teamAbbr""=>""OIT"", ""teamCity""=>""Ōita"", ""teamName""=>""Oita Trinita"", ""teamFounded""=>""1994"", ""teamStadium""=>""Big Eye Stadium"", ""teamCapacity""=>43254, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=536""}",OITA TRINITA,JAPAN,true,"[""PES21""]"
NEWCASTLE JETS,false,"{""teamAbbr""=>""NEW"", ""teamCity""=>""Newcastle"", ""teamName""=>""Newcastle Jets"", ""teamFounded""=>""2005"", ""teamStadium""=>""McDonald Jones Stadium"", ""teamCapacity""=>33000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=562""}",NEWCASTLE JETS,AUSTRALIA,true,"[""FIFA23""]"
CENTRAL COAST MARINERS,false,"{""teamAbbr""=>""CCM"", ""teamCity""=>""Gosford"", ""teamName""=>""Central Coast Mariners"", ""teamFounded""=>""2004"", ""teamStadium""=>""Central Coast Stadium"", ""teamCapacity""=>20059, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=561""}",CENTRAL COAST MARINERS,AUSTRALIA,true,"[""FIFA23""]"
BRASIL DE PELOTAS,false,"{""teamAbbr""=>""GEB"", ""teamCity""=>""Pelotas"", ""teamName""=>""Brasil de Pelotas"", ""teamFounded""=>""1911"", ""teamStadium""=>""Bento Freitas"", ""teamCapacity""=>18000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2478""}",BRASIL DE PELOTAS,BRAZIL,true,"[""PES21""]"
BRUSQUE FC,false,"{""teamAbbr""=>""BFC"", ""teamCity""=>""Brusque"", ""teamName""=>""Brusque FC"", ""teamFounded""=>""1987"", ""teamStadium""=>""Estádio Augusto Bauer"", ""teamCapacity""=>5000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=4483""}","BRUSQUE FC, BRUSQUE",BRAZIL,true,"[""PES21""]"
BRISBANE ROAR,false,"{""teamAbbr""=>""BRI"", ""teamCity""=>""Brisbane"", ""teamName""=>""Brisbane Roar"", ""teamFounded""=>""2005"", ""teamStadium""=>""Dolphin Stadium"", ""teamCapacity""=>11500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=566""}",BRISBANE ROAR,AUSTRALIA,true,"[""FIFA23""]"
LONDRINA EC,false,"{""teamAbbr""=>""LEC"", ""teamCity""=>""Londrina"", ""teamName""=>""Londrina EC"", ""teamFounded""=>""1956"", ""teamStadium""=>""Estádio do Café"", ""teamCapacity""=>36000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2881""}",LONDRINA EC,BRAZIL,true,"[""PES21""]"
CLUBE DO REMO,false,"{""teamAbbr""=>""CRB"", ""teamCity""=>""Belém"", ""teamName""=>""Clube do Remo"", ""teamFounded""=>""1905"", ""teamStadium""=>""Baenão"", ""teamCapacity""=>17518, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2476""}","CLUBE DO REMO, REMO",BRAZIL,true,"[""PES21""]"
EC VITÓRIA,false,"{""teamAbbr""=>""VIT"", ""teamCity""=>""Salvador"", ""teamName""=>""EC Vitória"", ""teamFounded""=>""1899"", ""teamStadium""=>""Barradão"", ""teamCapacity""=>35000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1237""}",EC VITÓRIA,BRAZIL,true,"[""PES21""]"
LOS ANGELES FC,false,"{""teamAbbr""=>""LA"", ""teamCity""=>""Los Angeles"", ""teamName""=>""Los Angeles FC"", ""teamFounded""=>""2014"", ""teamStadium""=>""Banc of California Stadium"", ""teamCapacity""=>22000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=4260""}",LOS ANGELES FC,USA,true,"[""FIFA23""]"
AL SHABAB,false,"{""teamAbbr""=>""SHA"", ""teamCity""=>""Riyadh"", ""teamName""=>""Al Shabab"", ""teamFounded""=>""1947"", ""teamStadium""=>""King Fahd International"", ""teamCapacity""=>67000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=626""}",AL SHABAB,SAUDI ARABIA,true,"[""FIFA23""]"
ORLANDO CITY SC,false,"{""teamAbbr""=>""ORL"", ""teamCity""=>""Orlando"", ""teamName""=>""Orlando City SC"", ""teamFounded""=>""2010"", ""teamStadium""=>""Orlando City Stadium"", ""teamCapacity""=>25500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2116""}",ORLANDO CITY SC,USA,true,"[""FIFA23""]"
SK RAPID WIEN,false,"{""teamAbbr""=>""SCR"", ""teamCity""=>""Vienna"", ""teamName""=>""SK Rapid Wien"", ""teamFounded""=>""1898"", ""teamStadium""=>""Allianz Stadion"", ""teamCapacity""=>28000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=357""}",SK RAPID WIEN,AUSTRIA,true,"[""FIFA23""]"
AL FATEH,false,"{""teamAbbr""=>""FAT"", ""teamCity""=>""Al-Hasa"", ""teamName""=>""Al Fateh SC"", ""teamFounded""=>""1958"", ""teamStadium""=>""Prince Abdullah bin Jalawi Stadium"", ""teamCapacity""=>27550, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2002""}",AL FATEH,SAUDI ARABIA,true,"[""FIFA23""]"
MELBOURNE CITY FC,false,"{""teamAbbr""=>""MCY"", ""teamCity""=>""Melbourne"", ""teamName""=>""Melbourne City FC"", ""teamFounded""=>""2009"", ""teamStadium""=>""AAMI Park"", ""teamCapacity""=>30050, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1589""}",MELBOURNE CITY FC,AUSTRALIA,true,"[""PES21"",""FIFA23""]"
AL RAED,false,"{""teamAbbr""=>""RAE"", ""teamCity""=>""Buraidah"", ""teamName""=>""Al Raed"", ""teamFounded""=>""1954"", ""teamStadium""=>""King Abdullah Sport City Stadium"", ""teamCapacity""=>25000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2756""}",AL RAED,SAUDI ARABIA,true,"[""FIFA23""]"
TSV HARTBERG,false,"{""teamAbbr""=>""HTB"", ""teamCity""=>""Hartberg"", ""teamName""=>""TSV Hartberg"", ""teamFounded""=>""1946"", ""teamStadium""=>""Hartberg Stadion"", ""teamCapacity""=>4500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2094""}",TSV HARTBERG,AUSTRIA,true,"[""FIFA23""]"
SV RIED,false,"{""teamAbbr""=>""SVR"", ""teamCity""=>""Ried im Innkreis"", ""teamName""=>""SV Ried"", ""teamFounded""=>""1912"", ""teamStadium""=>""Fill Metallbau Stadion"", ""teamCapacity""=>7680, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=541""}",SV RIED,AUSTRIA,true,"[""FIFA23""]"
WSG TIROL,false,"{""teamAbbr""=>""WSG"", ""teamCity""=>""Wattens"", ""teamName""=>""WSG Tirol"", ""teamFounded""=>""1930"", ""teamStadium""=>""Tivoli-Neu"", ""teamCapacity""=>17400, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=3161""}",WSG TIROL,AUSTRIA,true,"[""FIFA23""]"
VEGALTA SENDAI,false,"{""teamAbbr""=>""VEG"", ""teamCity""=>""Sendai"", ""teamName""=>""Vegalta Sendai"", ""teamFounded""=>""1988"", ""teamStadium""=>""Yurtec Stadium Sendai"", ""teamCapacity""=>19694, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1591""}",VEGALTA SENDAI,JAPAN,true,"[""PES21""]"
RIVER PLATE MONTEVIDEO,false,"{""teamAbbr""=>""RIV"", ""teamCity""=>""Montevideo"", ""teamName""=>""River Plate de Montevideo"", ""teamFounded""=>""1932"", ""teamStadium""=>""Saroldi"", ""teamCapacity""=>6000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1011""}","CLUB RIVER PLATE, RIVER PLATE MONTEVIDEO",URUGUAY,true,"[""FIFA23""]"
CLUB LIBERTAD,false,"{""teamAbbr""=>""LIB"", ""teamCity""=>""Asunción"", ""teamName""=>""Club Libertad"", ""teamFounded""=>""1905"", ""teamStadium""=>""Estadio Dr. Nicolás Leoz"", ""teamCapacity""=>10000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=616""}","CLUB LIBERTAD, LIBERTAD",PARAGUAY,true,"[""FIFA23""]"
NACIONAL ASUNCIÓN,false,"{""teamAbbr""=>""CN"", ""teamCity""=>""Asunción"", ""teamName""=>""Club Nacional"", ""teamFounded""=>""1904"", ""teamStadium""=>""Arsenio Erico"", ""teamCapacity""=>5100, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1093""}",NACIONAL ASUNCIÓN,PARAGUAY,true,"[""FIFA23""]"
