name,nation,details,alias,def_country,activeplatforms
JAHN REGENSBURG,false,"{""teamAbbr""=>""JAH"", ""teamCity""=>""Regensburg"", ""teamName""=>""Jahn Regensburg"", ""teamFounded""=>""1889"", ""teamStadium""=>""Jahnstadion Regensburg"", ""teamCapacity""=>15210, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1437""}",JAHN REGENSBURG,GERMANY,true,"[""FIFA23""]"
SHAMROCK ROVERS,false,"{""teamAbbr""=>""SHA"", ""teamCity""=>""Dublin"", ""teamName""=>""Shamrock Rovers"", ""teamFounded""=>""1901"", ""teamStadium""=>""Tallaght Stadium"", ""teamCapacity""=>6000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=984""}",SHAMROCK ROVERS,IRELAND,true,"[""FIFA23""]"
NÎMES OLYMPIQUE,false,"{""teamAbbr""=>""NIM"", ""teamCity""=>""Nimes"", ""teamName""=>""Nîmes Olympique"", ""teamFounded""=>""1937"", ""teamStadium""=>""Stade des Costières"", ""teamCapacity""=>18482, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1290""}",NÎMES,FRANCE,true,"[""PES21"",""FIFA23""]"
EC BAHIA,false,"{""teamAbbr""=>""ECB"", ""teamCity""=>""Salvador"", ""teamName""=>""EC Bahia"", ""teamFounded""=>""1931"", ""teamStadium""=>""Itaipava Arena Fonte Nova"", ""teamCapacity""=>55000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1473""}",BAHIA,BRAZIL,true,"[""PES21""]"
BK HACKEN,false,"{""teamAbbr""=>""BKH"", ""teamCity""=>""Gothenburg"", ""teamName""=>""BK Häcken"", ""teamFounded""=>""1940"", ""teamStadium""=>""Rambergsvallen Stadion"", ""teamCapacity""=>7000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=673""}",BK HACKEN,SWEDEN,true,"[""FIFA23""]"
UNIVERSITARIO DE DEPORTES,false,"{""teamAbbr""=>""UNI"", ""teamCity""=>""Lima"", ""teamName""=>""Universitario de Deportes"", ""teamFounded""=>""1924"", ""teamStadium""=>""Estadio Monumental"", ""teamCapacity""=>80093, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=622""}","UNIVERSITATIO, UNIVERSITARIO DE DEPORTES",PERU,true,"[""PES21""]"
SYDNEY FC,false,"{""teamAbbr""=>""SYD"", ""teamCity""=>""Sydney"", ""teamName""=>""Sydney FC"", ""teamFounded""=>""2004"", ""teamStadium""=>""Leichhardt Oval"", ""teamCapacity""=>20000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=559""}",SYDNEY,AUSTRALIA,true,"[""PES21"",""FIFA23""]"
CRUZEIRO,false,"{""teamAbbr""=>""CRU"", ""teamCity""=>""Belo Horizonte"", ""teamName""=>""Cruzeiro"", ""teamFounded""=>""1921"", ""teamStadium""=>""Mineirão"", ""teamCapacity""=>62162, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=292""}",CRUZEIRO,BRAZIL,true,"[""PES21""]"
WOLFSBERGER AC,false,"{""teamAbbr""=>""WAC"", ""teamCity""=>""Wolfsberg"", ""teamName""=>""Wolfsberger AC"", ""teamFounded""=>""2007"", ""teamStadium""=>""Lavanttal-Arena"", ""teamCapacity""=>8000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1835""}",WOLFSBERGER AC,AUSTRIA,true,"[""FIFA23""]"
AL AHLI SAUDI,false,"{""teamAbbr""=>""ALJ"", ""teamCity""=>""Jeddah"", ""teamName""=>""Al Ahli Jeddah"", ""teamFounded""=>""1934"", ""teamStadium""=>""King Abdullah Sports City"", ""teamCapacity""=>65000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=628""}",AL AHLI SAUDI,SAUDI ARABIA,true,"[""PES21""]"
